SIZE;TIME;
2;4.440064;
4;0.113664;
8;1.127424;
16;0.049152;
32;0.023552;
64;0.023552;
128;0.023552;
256;2.536608;
512;0.442880;
1024;1.497376;
2048;10.566176;
4096;86.164513;
